600354,敦煌种业,,,
600737,中粮屯河,,,
600787,中储股份,,,
000552,靖远煤电,,,
601001,大同煤业,,,
600022,山东钢铁,,,
600418,江淮汽车,,,
600150,中国船舶,,,
000905,厦门港务,,,
000061,农 产 品,,,
600115,东方航空,,,
600717,天津港,,,
000998,隆平高科,,,
600270,外运发展,,,
601225,陕西煤业,,,
000877,天山股份,,,
600526,菲达环保,,,
600343,航天动力,,,
600751,天津海运,,,
000099,中信海直,,,
601718,际华集团,,,
000060,中金岭南,,,
000738,中航动控,,,
600018,上港集团,,,
600088,中视传媒,,,
600611,大众交通,,,
600827,百联股份,,,
601106,中国一重,,,
000807,云铝股份,,,
600755,厦门国贸,,,
603993,洛阳钼业,,,
600395,盘江股份,,,
000901,航天科技,,,
601999,出版传媒,,,
601006,大秦铁路,,,
000725,京东方Ａ,,,
600392,盛和资源,,,
600432,吉恩镍业,,,
600688,上海石化,,,
600536,中国软件,,,
000709,河北钢铁,,,
000878,云南铜业,,,
601899,紫金矿业,,,
000997,新 大 陆,,,
601872,招商轮船,,,
600559,老白干酒,,,
000410,沈阳机床,,,
600119,长江投资,,,
002007,华兰生物,,,
600089,特变电工,,,
000078,海王生物,,,
600873,梅花生物,,,
601866,中海集运,,,
000680,山推股份,,,
600320,振华重工,,,
000516,国际医学,,,
601038,一拖股份,,,
000528,柳    工,,,
601179,中国西电,,,
600825,新华传媒,,,
601600,中国铝业,,,
600153,建发股份,,,
600633,浙报传媒,,,
600198,大唐电信,,,
600031,三一重工,,,
600023,浙能电力,,,
000983,西山煤电,,,
601618,中国中冶,,,
600692,亚通股份,,,
600815,厦工股份,,,
600446,金证股份,,,
600655,豫园商城,,,
000157,中联重科,,,
600048,保利地产,,,
601333,广深铁路,,,
600546,山煤国际,,,
000425,徐工机械,,,
000825,太钢不锈,,,
000712,锦龙股份,,,
000630,铜陵有色,,,
000768,中航飞机,,,
601668,中国建筑,,,
000596,古井贡酒,,,
600855,航天长峰,,,
000024,招商地产,,,
600030,中信证券,,,
601377,兴业证券,,,
601788,光大证券,,,
601628,中国人寿,,,
600369,西南证券,,,
601009,南京银行,,,
000686,东北证券,,,
002151,北斗星通,,,
600389,江山股份,,,
002041,登海种业,,,
002428,云南锗业,,,
600537,亿晶光电,,,
002008,大族激光,,,
600292,中电远达,,,
002490,山东墨龙,,,
601699,潞安环能,,,
600846,同济科技,,,
002158,汉钟精机,,,
600739,辽宁成大,,,
600545,新疆城建,,,
000858,五 粮 液,,,
002500,山西证券,,,
600415,小商品城,,,
000050,深天马Ａ,,,